factor_de_expansion;id_hog;zona;region_de_planificacion;tipo_de_vivienda;tipo_de_tenencia_de_la_vivienda;mensualidad_pagada_por_la_vivienda;material_de_las_paredes_exteriores_de_la_vivienda;material_del_techo_de_la_vivienda;material_del_piso_de_la_vivienda;la_vivienda_tiene_cielo_raso;condicion_de_hacinamiento_segun_aposentos;total_de_aposentos_de_la_vivienda;tipo_de_conexion_al_servicio_de_internet;tenenciaCompuP;tenenciaCompuE;tenenciaCompu;tenenciaTab;tenenciaCel;tenenciaDisMov;tenenciaTIC;cantidad_de_telefonos_celulares;cantidad_de_tabletas;cantidad_de_computadoras_portatiles;cantidad_de_computadoras_de_escritorio;nivel_de_pobreza;ingreso_total_del_hogar_neto;ingreso_per_capita_del_hogar_neto;quintil_de_ingreso_per_capita_del_hogar_neto;quintil_de_ingreso_per_capita_del_hogar_por_zona;quintil_de_ingreso_per_capita_del_hogar_neto_por_region_de_planificacion;jefe_sexo;jefe_edad;jefe_estado_conyugal;jefe_nivel_de_instruccion;jefe_tipo_de_centro_educativo_al_que_asiste_o_asistio;jefe_dominio_de_un_segundo_idioma;jefe_condicion_de_actividad;jefe_ocupacion_en_el_empleo_principal_cocr_2011;jefe_condicion_de_aseguramiento;jefe_recibio_ingreso_pension_alimenticia;jefe_asistencia_a_educacion_formal;jefe_estudiante;cantidad_personas;cantidad_hombres;cantidad_mujeres;estudiantes_preescolar;estudiantes_escuela;estudiantes_colegio;estudiantes_parauniversitaria;estudiantes_universitaria;estudiantes_enseñanza_especial;estudiantes_otro_formal;estudiantes_no_formal;estudiantes;estudiantes_con_beca;total_en_becas;estudiantes_centro_publico;estudiantes_centro_privado;personas_segundo_idioma;cantidad_ocupados;cantidad_desempleados;cantidad_fuera_de_ft;menores_de_15;mayores_de_64;pensionados
279;1_1_1;Urbana;Central;Casa Independiente;Propia totalmente pagada;NA;Block o ladrillo;Lámina de metal o zinc;Mosaico, cerámica, terrazo;Sí;Vivienda no hacinada;4;Por cable coaxial;Sí;Sí;Sí;Sí;Sí;Sí;Sí;3;2;2;1;No pobre;251,723,333,333,333;839,077,777,777,778;Q5: Más de 459848;5;5;Mujer;43;Casado(a);Educación superior de pregrado y grado;Público;No;Ocupado;Profesionales científicos e intelectuales;Asalariado;No;No asiste;No;3;2;1;0;1;0;0;1;0;0;0;2;0;0;0;2;1;2;0;0;1;0;0
306;1_3_1;Urbana;Central;En fila o contigua;Alquilada;125000;Madera;Lámina de metal o zinc;Madera;No;Vivienda no hacinada;4;NA;No;No;No;No;Sí;Sí;Sí;1;0;0;0;No pobre;189,583,333,333,333;189,583,333,333,333;Q3: Más de 144395 a 240898;3;3;Hombre;70;Divorciado(a);Educación superior de pregrado y grado;Privado;No;Ocupado;Ocupaciones elementales;Pensionado del régimen de IVM de la CCSS;No;No asiste;No;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1
281;1_4_1;Urbana;Central;En fila o contigua;Propia totalmente pagada;NA;Block o ladrillo;Lámina de metal o zinc;Mosaico, cerámica, terrazo;Sí;Vivienda no hacinada;6;Por cable coaxial;No;Sí;Sí;Sí;Sí;Sí;Sí;1;1;0;1;No pobre;1300000;1300000;Q5: Más de 459848;5;5;Hombre;61;Separado(a);Educación superior de pregrado y grado;Público;Sí;Ocupado;Profesionales científicos e intelectuales;Trabajador independiente;No;No asiste;No;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0
279;1_11_1;Urbana;Central;Casa Independiente;Propia totalmente pagada;NA;Madera;Lámina de metal o zinc;Mosaico, cerámica, terrazo;Sí;Vivienda no hacinada;6;NA;Sí;No;Sí;No;Sí;Sí;Sí;1;0;1;0;No pobre;433,333,333,333,333;433,333,333,333,333;Q4: Más de 240898 a 459848;4;4;Mujer;95;Viudo(a);Secundaria académica completa;Público;Sí;Fuera de la fuerza de trabajo;NA;Pensionado del régimen de IVM de la CCSS;No;No asiste;No;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;1;1
253;1_12_1;Urbana;Central;En fila o contigua;Propia totalmente pagada;NA;Block o ladrillo;Lámina de metal o zinc;Mosaico, cerámica, terrazo;Sí;Vivienda no hacinada;8;Por cable coaxial;Sí;No;Sí;No;Sí;Sí;Sí;3;0;1;0;No pobre;158,517,066,666,667;528,390,222,222,222;Q5: Más de 459848;5;4;Hombre;68;Casado(a);Educación superior de posgrado;Privado;No;Ocupado;Técnicos y profesionales de nivel medio;Pensionado del régimen del Magisterio, Poder Judicial, Hacienda, otro;No;No asiste;No;3;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;0;2;2
279;2_3_1;Urbana;Central;Casa Independiente;Propia totalmente pagada;NA;Block o ladrillo;Lámina de metal o zinc;Mosaico, cerámica, terrazo;Sí;Vivienda no hacinada;5;Por cable coaxial;No;No;No;No;Sí;Sí;Sí;1;0;0;0;No pobre;379,166,666,666,667;379,166,666,666,667;Q4: Más de 240898 a 459848;4;4;Mujer;73;Viudo(a);Secundaria académica incompleta;Público;No;Fuera de la fuerza de trabajo;NA;Pensionado del régimen de IVM de la CCSS;No;No asiste;No;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1
369;2_4_1;Urbana;Central;En fila o contigua;Alquilada;185000;Block o ladrillo;Lámina de metal o zinc;Mosaico, cerámica, terrazo;Sí;Vivienda no hacinada;4;Por cable coaxial;Sí;No;Sí;Sí;Sí;Sí;Sí;6;2;1;0;Pobreza no extrema;407225;81445;Q1: 87944 ó menos;1;1;Mujer;39;En unión libre o juntado(a);Secundaria académica completa;Público;No;Ocupado;Personal de apoyo administrativo;Asalariado;No;No asiste;No;5;3;2;0;2;1;0;0;0;0;0;3;0;0;3;0;1;1;1;1;2;0;0
245;2_5_1;Urbana;Central;En fila o contigua;Propia totalmente pagada;NA;Fibrocemento (Fibrolit, Ricalit);Lámina de metal o zinc;Mosaico, cerámica, terrazo;Sí;Vivienda no hacinada;6;Por dispositivos móviles (SIM);Sí;No;Sí;No;Sí;Sí;Sí;1;0;1;0;No pobre;1501550;375387,5;Q4: Más de 240898 a 459848;4;4;Hombre;62;Divorciado(a);Educación superior de pregrado y grado;Público;Sí;Ocupado;Técnicos y profesionales de nivel medio;Familiar asegurado directo;No;No asiste;No;4;1;3;0;1;0;0;1;0;0;0;2;0;0;1;1;2;2;0;1;1;1;0
280;2_9_1;Urbana;Central;En fila o contigua;Propia totalmente pagada;NA;Block o ladrillo;Lámina de metal o zinc;Mosaico, cerámica, terrazo;Sí;Vivienda no hacinada;4;Por cable coaxial;Sí;No;Sí;No;Sí;Sí;Sí;3;0;1;0;No pobre;915400;457700;Q4: Más de 240898 a 459848;4;4;Mujer;37;Separado(a);Secundaria académica completa;Público;No;Ocupado;Ocupaciones elementales;No asegurado;No;No asiste;No;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0
396;2_12_1;Urbana;Central;En edificio (condominio vertical o apartamento);Alquilada;150000;Block o ladrillo;Entrepiso;Mosaico, cerámica, terrazo;Sí;Vivienda no hacinada;5;Por cable coaxial;Sí;No;Sí;No;Sí;Sí;Sí;1;0;1;0;No pobre;3,514,233,125;3,514,233,125;Q4: Más de 240898 a 459848;4;4;Mujer;48;Soltero(a);Primaria completa;Público;No;Ocupado;Trabajadores de los servicios y vendedores de comercios y mercados;Asalariado;No;No asiste;No;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
